Name,Rank,Most Recent Revenue,Most Recent 990,Characters Describing Funding,Individual Funders Named,Foundation Funders Named,Corporate Funders Named,Government Funders Named
Brookings Institution,1,130784440,2013,524,2,5,2,6
Carnegie Endowment for International Peace,2,26625124,2012,0,0,0,0,0
Center for Strategic and International Studies,3,42980355,2012,303,0,0,0,0
RAND Corporation,4,287428038,2013,159,0,0,0,1
Council on Foreign Relations,5,75354179,2013,278,0,1,0,0
Woodrow Wilson International Center for Scholars,6,16452666,2010,441,0,0,0,1
Pew Research Center,7,23300786,2011,138,0,2,0,0
Heritage Foundation,8,72170983,2012,867,1,5,0,0
Cato Institute,9,33097063,2013,3073,8,10,10,0
Center for American Progress,10,34647763,2012,725,5,0,0,0
